Year,Cu supply (Mt)
1900,0.48
1901,0.50
1902,0.52
1903,0.54
1904,0.56
1905,0.57
1906,0.60
1907,0.63
1908,0.66
1909,0.71
1910,0.76
1911,0.80
1912,0.84
1913,0.84
1914,0.82
1915,0.90
1916,1.05
1917,1.20
1918,1.34
1919,1.13
1920,0.96
1921,0.61
1922,0.71
1923,0.91
1924,1.11
1925,1.20
1926,1.27
1927,1.33
1928,1.53
1929,1.73
1930,1.50
1931,1.27
1932,1.04
1933,1.01
1934,1.20
1935,1.40
1936,1.59
1937,1.79
1938,1.98
1939,2.01
1940,2.26
1941,2.40
1942,2.42
1943,2.43
1944,2.33
1945,2.20
1946,2.06
1947,2.11
1948,2.34
1949,2.57
1950,2.54
1951,2.80
1952,2.95
1953,3.07
1954,3.22
1955,3.54
1956,3.82
1957,3.82
1958,3.82
1959,3.97
1960,4.30
1961,4.64
1962,4.87
1963,4.81
1964,5.13
1965,5.44
1966,5.76
1967,6.07
1968,6.06
1969,6.37
1970,6.79
1971,7.02
1972,7.10
1973,7.63
1974,8.38
1975,8.11
1976,7.70
1977,8.11
1978,8.67
1979,9.03
1980,9.38
1981,9.42
1982,9.38
1983,9.12
1984,9.05
1985,9.56
1986,9.77
1987,9.81
1990,10.64
1991,10.64
1992,10.46
1993,10.44
1994,10.62
1995,10.91
1996,11.38
1997,11.84
1998,12.31
1999,12.76
2000,13.31
2001,14.19
2002,14.71
2003,14.73
2004,15.03
2005,15.52
2006,16.48
2007,16.55
2008,16.92
2009,17.77
2010,17.75
2011,17.74
2012,19.01
2013,19.72
2014,20.61
2015,21.55
2016,22.64
2017,22.87
2018,23.18
2019,23.57
2020,24.09
2021,24.4
2022,24.8
2023,25.3